"U:0","U:1","U:2","Points:0","Points:1","Points:2"
4.997,0.001008,0.00069486,-39.405,-29.404,0.59847
4.9834,0.0044712,0.0030671,-38.445,-29.471,0.50265
4.9992,0.004421,0.00067328,-39.473,-28.446,0.50129
4.9974,0.00098814,0.0036994,-39.476,-29.475,1.6521
4.9538,0.0065719,0.0053357,-37.491,-29.483,0.48065
4.9923,0.0133,0.0025106,-38.538,-28.539,0.41513
4.9836,0.00418,0.012549,-38.546,-29.541,1.5143
4.9993,0.0060256,0.00054305,-39.482,-27.498,0.47977
4.9993,0.003898,0.0036012,-39.542,-28.545,1.5128
4.9978,0.00087664,0.0062822,-39.489,-29.489,2.625
4.9092,0.0080694,0.0072816,-36.504,-29.486,0.47402
4.9712,0.0225,0.0049734,-37.523,-28.56,0.40999
4.9564,0.007259,0.025859,-37.532,-29.537,1.4712
4.9918,0.019224,0.0021543,-38.555,-27.531,0.40984
4.9936,0.012043,0.01078,-38.635,-28.637,1.3886
4.9854,0.0037561,0.022761,-38.571,-29.539,2.5649
4.9993,0.0075201,0.00049208,-39.484,-26.518,0.4736
4.9994,0.005557,0.0032618,-39.536,-27.537,1.4703
4.9994,0.0037139,0.0061338,-39.539,-28.573,2.565
4.998,0.0008001,0.008198,-39.493,-29.493,3.6114
4.8506,0.010167,0.010734,-35.512,-29.487,0.47166
4.9355,0.031498,0.0078117,-36.515,-28.566,0.40944
4.9144,0.0089535,0.035829,-36.521,-29.534,1.4555
4.97,0.033011,0.0044201,-37.536,-27.546,0.41227
4.9747,0.02169,0.02147,-37.563,-28.639,1.3639
4.96,0.0061339,0.037777,-37.552,-29.527,2.5314
4.9918,0.02553,0.0019736,-38.561,-26.529,0.40925
4.9932,0.017731,0.010123,-38.635,-27.572,1.3639
4.9944,0.011403,0.0195,-38.641,-28.645,2.5096
4.9872,0.0033021,0.028271,-38.58,-29.537,3.5855
4.9993,0.0092759,0.00047463,-39.485,-25.531,0.4716
4.9994,0.0070874,0.0030817,-39.533,-26.533,1.455
4.9994,0.0055309,0.0059284,-39.525,-27.558,2.5316
4.9995,0.0034432,0.00779,-39.537,-28.582,3.5859
4.9982,0.00073327,0.0095894,-39.494,-29.494,4.5945
4.776,0.012036,0.014992,-34.522,-29.487,0.47084
4.8848,0.040021,0.011104,-35.515,-28.569,0.40884
4.8584,0.010674,0.051529,-35.519,-29.534,1.4497
4.9336,0.046647,0.0070499,-36.521,-27.552,0.41422
4.9405,0.029982,0.033576,-36.532,-28.638,1.3547
4.9218,0.0081472,0.060569,-36.532,-29.52,2.5163
4.9703,0.045352,0.0041456,-37.542,-26.536,0.41416
4.973,0.031857,0.020253,-37.573,-27.583,1.3462
4.9774,0.020637,0.036785,-37.58,-28.636,2.4756
4.9652,0.0056168,0.050042,-37.561,-29.521,3.5672
4.9923,0.031733,0.0018689,-38.563,-25.535,0.40872
4.9932,0.023671,0.0096067,-38.633,-26.545,1.3544
4.9937,0.017248,0.018807,-38.63,-27.589,2.4758
4.9953,0.010855,0.025813,-38.642,-28.646,3.5596
4.9892,0.0029541,0.032677,-38.583,-29.537,4.5836
4.9994,0.010882,0.00045238,-39.485,-24.546,0.47093
4.9994,0.0087713,0.002895,-39.532,-25.537,1.4497
4.9994,0.007052,0.005621,-39.519,-26.543,2.5162
4.9995,0.0052558,0.0076671,-39.52,-27.567,3.5675
4.9996,0.0031848,0.009043,-39.536,-28.585,4.5839
4.9983,0.00066944,0.010397,-39.494,-29.495,5.5705
4.685,0.01306,0.020327,-33.535,-29.487,0.47057
4.8175,0.046972,0.015141,-34.523,-28.569,0.40841
4.7872,0.012132,0.071062,-34.525,-29.534,1.4477
4.8821,0.060398,0.010134,-35.518,-27.554,0.41445
4.8918,0.037003,0.047732,-35.524,-28.638,1.3506
4.8701,0.0096901,0.087093,-35.524,-29.519,2.5103
4.9348,0.066238,0.006717,-36.524,-26.539,0.41668
4.9382,0.04553,0.031861,-36.54,-27.588,1.3386
4.9462,0.028289,0.056382,-36.546,-28.63,2.4584
4.9316,0.0075938,0.080295,-36.538,-29.514,3.5578
4.972,0.05712,0.0039389,-37.544,-25.537,0.41438
4.9735,0.043847,0.019299,-37.578,-26.554,1.3385
4.9754,0.030462,0.035024,-37.589,-27.599,2.4373
4.9809,0.019476,0.048826,-37.588,-28.632,3.536
4.9709,0.0051298,0.058688,-37.565,-29.52,4.575
4.993,0.037217,0.0017548,-38.564,-24.547,0.40833
4.9936,0.029616,0.0090535,-38.633,-25.543,1.3503
4.9936,0.023188,0.018048,-38.624,-26.559,2.4583
4.9946,0.016485,0.025186,-38.627,-27.597,3.5362
4.9962,0.010084,0.03032,-38.643,-28.647,4.5701
4.9912,0.0026396,0.035171,-38.585,-29.537,5.5662
