"U:0","U:1","U:2","Points:0","Points:1","Points:2"
4.9821,8.5187e-05,1.3622e-05,-39.405,-29.404,0.59847
4.9399,0.0075253,0.0061357,-38.445,-29.471,0.50265
4.9977,0.0066839,0.0008021,-39.473,-28.446,0.50129
4.9877,0.0015198,0.0041884,-39.476,-29.475,1.6521
4.8631,0.016487,0.015129,-37.491,-29.483,0.48065
4.9884,0.030859,0.0036565,-38.538,-28.539,0.41513
4.9715,0.0079954,0.024435,-38.546,-29.541,1.5143
4.9981,0.0091817,0.00047914,-39.482,-27.498,0.47977
4.9981,0.0052872,0.0037792,-39.542,-28.545,1.5128
4.9919,0.0012613,0.0088431,-39.489,-29.489,2.625
4.7616,0.022857,0.020943,-36.504,-29.486,0.47402
4.9982,0.075183,0.011654,-37.523,-28.56,0.40999
4.963,0.022504,0.06123,-37.532,-29.537,1.4712
4.9736,0.016509,0.0033874,-38.555,-27.531,0.40984
4.9906,0.023518,0.015911,-38.635,-28.637,1.3886
4.9639,0.0048171,0.023191,-38.571,-29.539,2.5649
4.9988,0.0093199,0.00041214,-39.484,-26.518,0.4736
4.9982,0.0078047,0.0026803,-39.536,-27.537,1.4703
4.9975,0.0045126,0.0077568,-39.539,-28.573,2.565
4.995,0.00068177,0.0082578,-39.493,-29.493,3.6114
4.6225,0.025772,0.026226,-35.512,-29.487,0.47166
5.018,0.1126,0.02535,-36.515,-28.566,0.40944
4.9351,0.028518,0.068034,-36.521,-29.534,1.4555
4.9578,-0.011203,0.021681,-37.536,-27.546,0.41227
4.9959,0.043455,0.032463,-37.563,-28.639,1.3639
4.9395,0.025464,0.014074,-37.552,-29.527,2.5314
4.9887,0.014682,0.0041742,-38.561,-26.529,0.40925
4.9866,0.014848,0.0075562,-38.635,-27.572,1.3639
4.9876,0.010551,0.017496,-38.641,-28.645,2.5096
4.9823,0.0036477,0.024867,-38.58,-29.537,3.5855
4.998,0.0086323,0.00039092,-39.485,-25.531,0.4716
4.9989,0.0078124,0.0023838,-39.533,-26.533,1.455
4.998,0.0059518,0.0055881,-39.525,-27.558,2.5316
4.9984,0.0029043,0.0098656,-39.537,-28.582,3.5859
4.9953,0.00084123,0.0089968,-39.494,-29.494,4.5945
4.4928,0.017669,0.027306,-34.522,-29.487,0.47084
5.0019,0.10885,0.031576,-35.515,-28.569,0.40884
4.8847,0.028253,0.061741,-35.519,-29.534,1.4497
4.969,-0.040124,0.057958,-36.521,-27.552,0.41422
5.0278,0.053036,0.044066,-36.532,-28.638,1.3547
4.9034,0.043325,0.0078631,-36.532,-29.52,2.5163
4.9629,0.0070951,0.021913,-37.542,-26.536,0.41416
4.9947,0.0074784,0.017873,-37.573,-27.583,1.3462
4.9962,0.015003,0.014449,-37.58,-28.636,2.4756
4.9736,0.02696,0.045007,-37.561,-29.521,3.5672
4.9719,0.026399,0.0040687,-38.563,-25.535,0.40872
4.9904,0.018358,0.00958,-38.633,-26.545,1.3544
4.9706,0.0061567,0.0049373,-38.63,-27.589,2.4758
4.9939,0.0017449,0.023794,-38.642,-28.646,3.5596
4.9796,0.0053496,0.014152,-38.583,-29.537,4.5836
4.999,0.0097986,0.00028176,-39.485,-24.546,0.47093
4.9988,0.0082078,0.0022293,-39.532,-25.537,1.4497
4.9988,0.0066671,0.0056916,-39.519,-26.543,2.5162
4.9981,0.0053811,0.0069287,-39.52,-27.567,3.5675
4.9989,0.0034738,0.00915,-39.536,-28.585,4.5839
4.9904,0.0010478,0.0081593,-39.494,-29.495,5.5705
4.4128,0.0030707,0.026868,-33.535,-29.487,0.47057
4.9579,0.072066,0.034154,-34.523,-28.569,0.40841
4.8199,0.019027,0.054884,-34.525,-29.534,1.4477
4.9629,-0.036997,0.065589,-35.518,-27.554,0.41445
5.0288,0.052983,0.046859,-35.524,-28.638,1.3506
4.846,0.045087,0.017928,-35.524,-29.519,2.5103
4.9091,0.00077896,0.040183,-36.524,-26.539,0.41668
5.0475,-0.0010073,0.027502,-36.54,-27.588,1.3386
5.0433,0.027091,0.012021,-36.546,-28.63,2.4584
4.9445,0.059736,0.055953,-36.538,-29.514,3.5578
4.9121,0.04163,0.015394,-37.544,-25.537,0.41438
5.0021,0.034272,0.024057,-37.578,-26.554,1.3385
4.9328,-0.0024568,-0.0035208,-37.589,-27.599,2.4373
5.0094,0.00039765,0.034856,-37.588,-28.632,3.536
4.9618,0.029126,0.017164,-37.565,-29.52,4.575
4.9884,0.034824,0.0033101,-38.564,-24.547,0.40833
4.9879,0.027777,0.014141,-38.633,-25.543,1.3503
4.9868,0.022074,0.0021069,-38.624,-26.559,2.4583
4.9735,0.0059528,0.024117,-38.627,-27.597,3.5362
4.9921,0.0095887,0.022927,-38.643,-28.647,4.5701
4.9557,0.0091935,0.031511,-38.585,-29.537,5.5662
4.998,0.010714,0.00029791,-39.486,-23.563,0.47072
4.9991,0.0099003,0.0016258,-39.532,-24.549,1.4479
4.9978,0.0082641,0.0045211,-39.517,-25.542,2.5103
4.9981,0.0062565,0.0064976,-39.512,-26.549,3.5579
4.999,0.005946,0.0079522,-39.518,-27.57,4.5752
4.9986,0.0034953,0.008697,-39.536,-28.586,5.5663
4.995,0.00078333,0.0094195,-39.494,-29.495,6.5423
4.3704,-0.011755,0.025369,-32.548,-29.487,0.4705
4.8884,0.021753,0.031013,-33.535,-28.57,0.40822
4.7408,0.0028275,0.056965,-33.536,-29.534,1.4471
4.9028,-0.0010881,0.060078,-34.524,-27.555,0.41422
5.0027,0.045802,0.057435,-34.528,-28.639,1.3488
4.7728,0.032511,0.076479,-34.527,-29.518,2.5082
4.8034,0.02998,0.041154,-35.519,-26.54,0.41699
5.0593,0.010512,0.035735,-35.529,-27.589,1.335
5.062,0.033195,0.024922,-35.533,-28.628,2.4509
4.8794,0.06162,0.081897,-35.527,-29.511,3.5538
4.8272,0.061779,0.026483,-36.525,-25.539,0.41695
5.0426,0.059059,0.032128,-36.544,-26.559,1.3301
4.9074,-0.0019021,-0.00020697,-36.556,-27.602,2.4153
5.0582,0.0082357,0.048994,-36.553,-28.624,3.5216
4.9202,0.041248,0.022557,-36.54,-29.512,4.5702
4.9777,0.070494,0.020724,-37.544,-24.549,0.41411
4.9897,0.049996,0.047588,-37.579,-25.548,1.3346
4.9736,0.039301,-0.029771,-37.593,-26.57,2.4151
4.9316,-0.0031263,0.039461,-37.597,-27.606,3.5047
5.0059,0.018368,0.039843,-37.592,-28.631,4.556
4.9079,0.019363,0.055868,-37.566,-29.519,5.5626
4.9734,0.031949,0.0032368,-38.564,-23.564,0.40813
4.9909,0.033745,0.0045093,-38.633,-24.551,1.3484
4.973,0.026066,0.012078,-38.622,-25.551,2.4506
4.9818,0.022517,0.016967,-38.619,-26.566,3.5216
4.9894,0.00029291,0.028693,-38.626,-27.6,4.5561
4.9939,0.016042,0.029072,-38.644,-28.648,5.5593
4.9793,0.0055414,0.028716,-38.585,-29.537,6.5409
4.9987,0.011751,0.00024718,-39.486,-22.581,0.47066
4.9987,0.010529,0.0017172,-39.532,-23.564,1.4473
4.9986,0.0092292,0.0042321,-39.517,-24.551,2.5082
4.998,0.0081999,0.0061352,-39.51,-25.544,3.5537
4.9984,0.0056192,0.0076049,-39.51,-26.551,4.5703
4.998,0.0058125,0.0087875,-39.518,-27.571,5.5627
4.9992,0.0028305,0.00937,-39.536,-28.587,6.5409
4.991,0.0009018,0.0088831,-39.494,-29.495,7.5125
4.3349,-0.024427,0.025892,-31.561,-29.487,0.47049
4.7639,-0.0051822,0.027077,-32.548,-28.569,0.40819
4.6461,-0.011841,0.078286,-32.548,-29.534,1.4469
4.7866,0.075127,0.04594,-33.535,-27.555,0.41408
4.9398,0.031716,0.076829,-33.537,-28.639,1.3481
4.6932,0.0058663,0.17462,-33.537,-29.518,2.5075
4.6633,0.10514,0.023828,-34.525,-26.541,0.41673
5.0379,0.048039,0.049642,-34.531,-27.59,1.333
5.0461,0.029856,0.066972,-34.533,-28.628,2.4477
4.793,0.049334,0.14169,-34.529,-29.511,3.5522
4.6995,0.093836,0.030445,-35.52,-25.54,0.41717
5.042,0.087475,0.033467,-35.532,-26.561,1.3256
4.8761,0.015823,0.032706,-35.541,-27.604,2.405
5.077,0.016297,0.065014,-35.538,-28.622,3.5144
4.852,0.039291,0.061586,-35.528,-29.509,4.568
4.9631,0.11088,0.041481,-36.526,-24.549,0.41661
5.0195,0.073593,0.060288,-36.547,-25.551,1.3254
4.9683,0.048269,-0.04425,-36.563,-26.577,2.3871
4.8905,-0.0051015,0.057319,-36.567,-27.61,3.4823
5.0665,0.033607,0.058157,-36.557,-28.623,4.5465
4.8374,0.023046,0.069002,-36.541,-29.511,5.5604
4.938,0.0525,0.01398,-37.544,-23.564,0.41388
5.0024,0.064249,0.0083829,-37.58,-24.554,1.3324
4.9482,0.042179,-0.0020956,-37.594,-25.559,2.4044
4.9491,0.03828,0.023662,-37.601,-26.58,3.4821
4.9839,-0.047419,0.052131,-37.6,-27.609,4.5345
5.0094,0.038976,0.056367,-37.593,-28.631,5.5518
4.9634,0.026466,0.067971,-37.566,-29.519,6.5396
4.9837,0.04521,0.0033329,-38.564,-22.581,0.40804
4.9893,0.033495,0.010156,-38.633,-23.566,1.3476
4.9846,0.031763,0.0037468,-38.622,-24.556,2.4472
4.9852,0.032894,0.019061,-38.616,-25.556,3.5141
