"U:0","U:1","U:2","Points:0","Points:1","Points:2"
4.9971,0.00098277,0.00066221,-39.405,-29.404,0.59847
4.9839,0.0043516,0.0029169,-38.445,-29.471,0.50265
4.9993,0.0043297,0.00064372,-39.473,-28.446,0.50129
4.9974,0.00095694,0.0035031,-39.476,-29.475,1.6521
4.9553,0.006416,0.0050748,-37.491,-29.483,0.48065
4.9926,0.01296,0.0023878,-38.538,-28.539,0.41513
4.9841,0.0041241,0.012217,-38.546,-29.541,1.5143
4.9993,0.0058838,0.0005173,-39.482,-27.498,0.47977
4.9993,0.0038004,0.0034328,-39.542,-28.545,1.5128
4.9979,0.00085345,0.0059776,-39.489,-29.489,2.625
4.9122,0.007898,0.006941,-36.504,-29.486,0.47402
4.9723,0.021991,0.0047332,-37.523,-28.56,0.40999
4.9578,0.0070675,0.024537,-37.532,-29.537,1.4712
4.9921,0.018744,0.002044,-38.555,-27.531,0.40984
4.9939,0.01172,0.01027,-38.635,-28.637,1.3886
4.9859,0.0036787,0.021801,-38.571,-29.539,2.5649
4.9993,0.0073214,0.00046848,-39.484,-26.518,0.4736
4.9994,0.0054192,0.0031086,-39.536,-27.537,1.4703
4.9994,0.003625,0.0058527,-39.539,-28.573,2.565
4.998,0.00077888,0.007792,-39.493,-29.493,3.6114
4.8557,0.009945,0.010269,-35.512,-29.487,0.47166
4.9379,0.030891,0.0074489,-36.515,-28.566,0.40944
4.9173,0.0086758,0.033774,-36.521,-29.534,1.4555
4.9712,0.032231,0.0041947,-37.536,-27.546,0.41227
4.9756,0.021204,0.020477,-37.563,-28.639,1.3639
4.9613,0.005928,0.035548,-37.552,-29.527,2.5314
4.9922,0.024831,0.0018722,-38.561,-26.529,0.40925
4.9934,0.017285,0.0096254,-38.635,-27.572,1.3639
4.9946,0.011127,0.018597,-38.641,-28.645,2.5096
4.9876,0.0032324,0.027101,-38.58,-29.537,3.5855
4.9994,0.0090029,0.00045052,-39.485,-25.531,0.4716
4.9994,0.0068915,0.0029258,-39.533,-26.533,1.455
4.9994,0.005389,0.0056484,-39.525,-27.558,2.5316
4.9995,0.0033605,0.0074304,-39.537,-28.582,3.5859
4.9982,0.00071538,0.0091377,-39.494,-29.494,4.5945
4.7836,0.011749,0.014332,-34.522,-29.487,0.47084
4.8891,0.039294,0.010591,-35.515,-28.569,0.40884
4.8631,0.010378,0.048968,-35.519,-29.534,1.4497
4.9362,0.045643,0.0067012,-36.521,-27.552,0.41422
4.9427,0.029372,0.03203,-36.532,-28.638,1.3547
4.9243,0.0079106,0.057931,-36.532,-29.52,2.5163
4.9716,0.044166,0.0039305,-37.542,-26.536,0.41416
4.9741,0.031091,0.019264,-37.573,-27.583,1.3462
4.9783,0.020086,0.035083,-37.58,-28.636,2.4756
4.9664,0.0054736,0.048204,-37.561,-29.521,3.5672
4.9927,0.03078,0.0017688,-38.563,-25.535,0.40872
4.9935,0.023028,0.009117,-38.633,-26.545,1.3544
4.9939,0.016803,0.017906,-38.63,-27.589,2.4758
4.9955,0.01058,0.024602,-38.642,-28.646,3.5596
4.9895,0.0028767,0.031152,-38.583,-29.537,4.5836
4.9994,0.010523,0.0004278,-39.485,-24.546,0.47093
4.9994,0.0085039,0.0027412,-39.532,-25.537,1.4497
4.9994,0.0068542,0.0053427,-39.519,-26.543,2.5162
4.9995,0.0051172,0.0073051,-39.52,-27.567,3.5675
4.9996,0.003106,0.0086249,-39.536,-28.585,4.5839
4.9983,0.00065284,0.0098775,-39.494,-29.495,5.5705
4.6956,0.012738,0.019377,-33.535,-29.487,0.47057
4.8241,0.04616,0.014432,-34.523,-28.569,0.40841
4.7944,0.011881,0.06802,-34.525,-29.534,1.4477
4.8866,0.05927,0.0096411,-35.518,-27.554,0.41445
4.8957,0.036247,0.045522,-35.524,-28.638,1.3506
4.8744,0.0095048,0.083566,-35.524,-29.519,2.5103
4.9376,0.06465,0.0063755,-36.524,-26.539,0.41668
4.9406,0.044514,0.03033,-36.54,-27.588,1.3386
4.9482,0.02762,0.053755,-36.546,-28.63,2.4584
4.9338,0.0073935,0.075984,-36.538,-29.514,3.5578
4.9734,0.055465,0.0037243,-37.544,-25.537,0.41438
4.9746,0.042699,0.018316,-37.578,-26.554,1.3385
4.9764,0.029695,0.033347,-37.589,-27.599,2.4373
4.9817,0.018961,0.046521,-37.588,-28.632,3.536
4.9718,0.0049863,0.055608,-37.565,-29.52,4.575
4.9934,0.035968,0.0016555,-38.564,-24.547,0.40833
4.9939,0.028725,0.0085706,-38.633,-25.543,1.3503
4.9939,0.022537,0.017147,-38.624,-26.559,2.4583
4.9948,0.01604,0.023974,-38.627,-27.597,3.5362
4.9964,0.0098165,0.02889,-38.643,-28.647,4.5701
4.9914,0.0025831,0.033668,-38.585,-29.537,5.5662
4.9995,0.011754,0.00039837,-39.486,-23.563,0.47072
4.9995,0.0099413,0.0025385,-39.532,-24.549,1.4479
4.9995,0.0084223,0.0050312,-39.517,-25.542,2.5103
4.9995,0.0066,0.007016,-39.512,-26.549,3.5579
4.9996,0.0047852,0.0084994,-39.518,-27.57,4.5752
4.9997,0.0028537,0.0093366,-39.536,-28.586,5.5663
4.9985,0.0006085,0.010224,-39.494,-29.495,6.5423
4.5933,0.011372,0.025687,-32.548,-29.487,0.4705
4.7399,0.049333,0.019136,-33.535,-28.57,0.40822
4.711,0.012242,0.091773,-33.536,-29.534,1.4471
4.8191,0.072448,0.013287,-34.524,-27.555,0.41422
4.8332,0.041915,0.062071,-34.528,-28.639,1.3488
4.812,0.010763,0.11365,-34.527,-29.518,2.5082
4.8889,0.086786,0.0091957,-35.519,-26.54,0.41699
4.8928,0.057928,0.043441,-35.529,-27.589,1.335
4.9053,0.034153,0.07608,-35.533,-28.628,2.4509
4.8908,0.0089994,0.1089,-35.527,-29.511,3.5538
4.9415,0.082357,0.0060518,-36.525,-25.539,0.41695
4.942,0.063188,0.028978,-36.544,-26.559,1.3301
4.9458,0.042464,0.051283,-36.556,-27.602,2.4153
4.9559,0.026233,0.071423,-36.553,-28.624,3.5216
4.945,0.0068494,0.089953,-36.54,-29.512,4.5702
4.9762,0.065215,0.0034716,-37.544,-24.549,0.41411
4.9763,0.053793,0.017251,-37.579,-25.548,1.3346
4.9767,0.040999,0.031697,-37.593,-26.57,2.4151
4.9798,0.028138,0.044671,-37.597,-27.606,3.5047
4.9853,0.017648,0.054682,-37.592,-28.631,4.556
4.9775,0.0044982,0.061048,-37.566,-29.519,5.5626
4.9944,0.040113,0.0015254,-38.564,-23.564,0.40813
4.9946,0.033663,0.0079587,-38.633,-24.551,1.3484
4.9943,0.028134,0.016189,-38.622,-25.551,2.4506
4.9947,0.021574,0.023084,-38.619,-26.566,3.5216
4.9958,0.015077,0.02825,-38.626,-27.6,4.5561
4.9973,0.0090082,0.031396,-38.644,-28.648,5.5593
4.9934,0.0022732,0.034058,-38.585,-29.537,6.5409
4.9996,0.012624,0.00036381,-39.486,-22.581,0.47066
4.9996,0.011099,0.0023163,-39.532,-23.564,1.4473
4.9995,0.0098262,0.0046801,-39.517,-24.551,2.5082
4.9995,0.0081334,0.0066362,-39.51,-25.544,3.5537
4.9996,0.0062235,0.0082047,-39.51,-26.551,4.5703
4.9997,0.0044362,0.0092162,-39.518,-27.571,5.5627
4.9998,0.0026388,0.0096172,-39.536,-28.587,6.5409
4.9986,0.00053191,0.010045,-39.494,-29.495,7.5125
4.4814,0.0051033,0.033604,-31.561,-29.487,0.47049
4.6322,0.043749,0.025231,-32.548,-28.569,0.40819
4.614,0.0095911,0.12142,-32.548,-29.534,1.4469
4.729,0.083468,0.017984,-33.535,-27.555,0.41408
4.7528,0.044023,0.082725,-33.537,-28.639,1.3481
4.737,0.010847,0.15136,-33.537,-29.518,2.5075
4.8214,0.11071,0.012676,-34.525,-26.541,0.41673
4.828,0.070833,0.0597,-34.531,-27.59,1.333
4.8483,0.039535,0.10368,-34.533,-28.628,2.4477
4.8375,0.010267,0.14954,-34.529,-29.511,3.5522
4.8958,0.11239,0.0087206,-35.52,-25.54,0.41717
4.895,0.085011,0.041566,-35.532,-26.561,1.3256
4.9021,0.055331,0.072982,-35.541,-27.604,2.405
4.919,0.032789,0.10124,-35.538,-28.622,3.5144
4.91,0.0084246,0.12856,-35.528,-29.509,4.568
4.9479,0.097642,0.00563,-36.526,-24.549,0.41661
4.9458,0.08056,0.027311,-36.547,-25.551,1.3254
4.9469,0.060548,0.048642,-36.563,-26.577,2.3871
4.9536,0.040228,0.068776,-36.567,-27.61,3.4823
4.9644,0.024606,0.083838,-36.557,-28.623,4.5465
4.9565,0.0062146,0.096707,-36.541,-29.511,5.5604
4.9799,0.072919,0.0031774,-37.544,-23.564,0.41388
4.9789,0.063349,0.016007,-37.58,-24.554,1.3324
4.9782,0.051709,0.029828,-37.594,-25.559,2.4044
