"U:0","U:1","U:2","Points:0","Points:1","Points:2"
4.9971,0.00099319,0.00067159,-39.405,-29.404,0.59847
4.9837,0.0044018,0.0029716,-38.445,-29.471,0.50265
4.9992,0.0043661,0.0006531,-39.473,-28.446,0.50129
4.9974,0.00097555,0.0035897,-39.476,-29.475,1.6521
4.9548,0.0064569,0.0051623,-37.491,-29.483,0.48065
4.9925,0.013113,0.0024311,-38.538,-28.539,0.41513
4.9839,0.0040763,0.01201,-38.546,-29.541,1.5143
4.9993,0.0059415,0.00052592,-39.482,-27.498,0.47977
4.9993,0.0038422,0.0034912,-39.542,-28.545,1.5128
4.9979,0.00086291,0.006081,-39.489,-29.489,2.625
4.9111,0.0079276,0.0070408,-36.504,-29.486,0.47402
4.9719,0.022159,0.0048092,-37.523,-28.56,0.40999
4.9574,0.0071678,0.025266,-37.532,-29.537,1.4712
4.992,0.018931,0.0020797,-38.555,-27.531,0.40984
4.9938,0.011857,0.010441,-38.635,-28.637,1.3886
4.9857,0.0036942,0.022074,-38.571,-29.539,2.5649
4.9993,0.0073998,0.0004764,-39.484,-26.518,0.4736
4.9994,0.0054765,0.003161,-39.536,-27.537,1.4703
4.9994,0.0036615,0.0059491,-39.539,-28.573,2.565
4.998,0.00078824,0.0079453,-39.493,-29.493,3.6114
4.8538,0.010005,0.010379,-35.512,-29.487,0.47166
4.937,0.031035,0.0075545,-36.515,-28.566,0.40944
4.9163,0.0088244,0.034796,-36.521,-29.534,1.4555
4.9708,0.032526,0.0042666,-37.536,-27.546,0.41227
4.9753,0.021327,0.020779,-37.563,-28.639,1.3639
4.9609,0.0060451,0.036708,-37.552,-29.527,2.5314
4.9921,0.025098,0.001905,-38.561,-26.529,0.40925
4.9933,0.017455,0.0097897,-38.635,-27.572,1.3639
4.9945,0.011219,0.018889,-38.641,-28.645,2.5096
4.9875,0.003244,0.02734,-38.58,-29.537,3.5855
4.9993,0.0091093,0.0004586,-39.485,-25.531,0.4716
4.9994,0.0069673,0.0029775,-39.533,-26.533,1.455
4.9994,0.0054448,0.0057428,-39.525,-27.558,2.5316
4.9995,0.0033929,0.0075534,-39.537,-28.582,3.5859
4.9982,0.00072173,0.0092844,-39.494,-29.494,4.5945
4.781,0.011869,0.014513,-34.522,-29.487,0.47084
4.8876,0.039516,0.010744,-35.515,-28.569,0.40884
4.8614,0.010532,0.049921,-35.519,-29.534,1.4497
4.9353,0.046021,0.0068103,-36.521,-27.552,0.41422
4.9419,0.029539,0.032507,-36.532,-28.638,1.3547
4.9235,0.0080264,0.058602,-36.532,-29.52,2.5163
4.9712,0.044615,0.0039992,-37.542,-26.536,0.41416
4.9737,0.031379,0.01958,-37.573,-27.583,1.3462
4.978,0.020334,0.035626,-37.58,-28.636,2.4756
4.966,0.0055215,0.048351,-37.561,-29.521,3.5672
4.9925,0.03114,0.0018011,-38.563,-25.535,0.40872
4.9934,0.023275,0.0092767,-38.633,-26.545,1.3544
4.9939,0.016972,0.018202,-38.63,-27.589,2.4758
4.9954,0.010682,0.025003,-38.642,-28.646,3.5596
4.9894,0.0029063,0.031671,-38.583,-29.537,4.5836
