"U:0","U:1","U:2","Points:0","Points:1","Points:2"
4.997,0.0010088,0.00069574,-39.405,-29.404,0.59847
4.9834,0.0044752,0.0030712,-38.445,-29.471,0.50265
4.9992,0.0044245,0.00067408,-39.473,-28.446,0.50129
4.9974,0.00098893,0.003704,-39.476,-29.475,1.6521
4.9538,0.0065783,0.0053432,-37.491,-29.483,0.48065
4.9923,0.013312,0.0025139,-38.538,-28.539,0.41513
4.9836,0.0041844,0.012568,-38.546,-29.541,1.5143
4.9993,0.0060309,0.00054373,-39.482,-27.498,0.47977
4.9993,0.0039014,0.0036057,-39.542,-28.545,1.5128
4.9978,0.00087738,0.0062903,-39.489,-29.489,2.625
4.9091,0.0080777,0.007292,-36.504,-29.486,0.47402
4.9712,0.02252,0.0049803,-37.523,-28.56,0.40999
4.9564,0.0072658,0.025892,-37.532,-29.537,1.4712
4.9918,0.019241,0.0021573,-38.555,-27.531,0.40984
4.9936,0.012054,0.010794,-38.635,-28.637,1.3886
4.9854,0.0037598,0.022792,-38.571,-29.539,2.5649
4.9993,0.0075274,0.00049273,-39.484,-26.518,0.4736
4.9994,0.0055619,0.0032658,-39.536,-27.537,1.4703
4.9994,0.0037169,0.0061411,-39.539,-28.573,2.565
4.998,0.00080082,0.0082089,-39.493,-29.493,3.6114
4.8504,0.010178,0.01075,-35.512,-29.487,0.47166
4.9354,0.031527,0.0078229,-36.515,-28.566,0.40944
4.9143,0.0089627,0.035879,-36.521,-29.534,1.4555
4.9699,0.033041,0.0044266,-37.536,-27.546,0.41227
4.9747,0.021711,0.021499,-37.563,-28.639,1.3639
4.96,0.0061401,0.037829,-37.552,-29.527,2.5314
4.9918,0.025554,0.0019764,-38.561,-26.529,0.40925
4.9931,0.017747,0.010137,-38.635,-27.572,1.3639
4.9944,0.011414,0.019526,-38.641,-28.645,2.5096
4.9872,0.003305,0.028308,-38.58,-29.537,3.5855
4.9993,0.0092852,0.00047528,-39.485,-25.531,0.4716
4.9994,0.0070944,0.0030859,-39.533,-26.533,1.455
4.9994,0.005536,0.0059359,-39.525,-27.558,2.5316
4.9995,0.0034462,0.0077995,-39.537,-28.582,3.5859
4.9982,0.00073393,0.0096021,-39.494,-29.494,4.5945
4.7758,0.01205,0.015014,-34.522,-29.487,0.47084
4.8847,0.040058,0.01112,-35.515,-28.569,0.40884
4.8582,0.010685,0.0516,-35.519,-29.534,1.4497
4.9335,0.046687,0.0070603,-36.521,-27.552,0.41422
4.9404,0.030011,0.033623,-36.532,-28.638,1.3547
4.9217,0.0081551,0.06065,-36.532,-29.52,2.5163
4.9703,0.045395,0.0041518,-37.542,-26.536,0.41416
4.973,0.031886,0.020282,-37.573,-27.583,1.3462
4.9774,0.020657,0.036836,-37.58,-28.636,2.4756
4.9652,0.0056224,0.050114,-37.561,-29.521,3.5672
4.9923,0.031766,0.0018717,-38.563,-25.535,0.40872
4.9932,0.023694,0.0096205,-38.633,-26.545,1.3544
4.9937,0.017265,0.018832,-38.63,-27.589,2.4758
4.9953,0.010866,0.025848,-38.642,-28.646,3.5596
4.9892,0.0029571,0.032725,-38.583,-29.537,4.5836
4.9994,0.010894,0.00045305,-39.485,-24.546,0.47093
4.9994,0.0087803,0.0028991,-39.532,-25.537,1.4497
4.9994,0.0070589,0.0056285,-39.519,-26.543,2.5162
4.9995,0.0052607,0.0076768,-39.52,-27.567,3.5675
4.9996,0.0031876,0.0090544,-39.536,-28.585,4.5839
4.9983,0.00067005,0.010411,-39.494,-29.495,5.5705
4.6846,0.013077,0.020358,-33.535,-29.487,0.47057
4.8173,0.047017,0.015163,-34.523,-28.569,0.40841
4.787,0.012145,0.071163,-34.525,-29.534,1.4477
4.8819,0.060448,0.010149,-35.518,-27.554,0.41445
