"U:0","U:1","U:2","Points:0","Points:1","Points:2"
4.9971,0.00098035,0.00065276,-39.405,-29.404,0.59847
4.9841,0.0043406,0.0029111,-38.445,-29.471,0.50265
4.9993,0.0043178,0.00063733,-39.473,-28.446,0.50129
4.9974,0.00096775,0.0035074,-39.476,-29.475,1.6521
4.9556,0.0063227,0.0049999,-37.491,-29.483,0.48065
4.9927,0.012945,0.0023747,-38.538,-28.539,0.41513
4.9841,0.0038932,0.011274,-38.546,-29.541,1.5143
4.9993,0.005859,0.00051256,-39.482,-27.498,0.47977
4.9993,0.0037966,0.0034035,-39.542,-28.545,1.5128
4.9979,0.00084741,0.0059023,-39.489,-29.489,2.625
4.9126,0.0078015,0.0068087,-36.504,-29.486,0.47402
4.9725,0.021745,0.0046674,-37.523,-28.56,0.40999
4.9583,0.0073649,0.026011,-37.532,-29.537,1.4712
4.9922,0.018653,0.0020244,-38.555,-27.531,0.40984
4.9939,0.011655,0.010168,-38.635,-28.637,1.3886
4.9859,0.0036915,0.021892,-38.571,-29.539,2.5649
4.9993,0.0072848,0.00046405,-39.484,-26.518,0.4736
4.9994,0.0054004,0.0030826,-39.536,-27.537,1.4703
4.9994,0.0036114,0.0058005,-39.539,-28.573,2.565
4.998,0.00077982,0.0077646,-39.493,-29.493,3.6114
4.8564,0.0099321,0.010115,-35.512,-29.487,0.47166
4.9383,0.030593,0.0073421,-36.515,-28.566,0.40944
4.9177,0.0087604,0.033915,-36.521,-29.534,1.4555
4.9714,0.03206,0.0041482,-37.536,-27.546,0.41227
4.9758,0.020942,0.020208,-37.563,-28.639,1.3639
4.9616,0.0059802,0.035461,-37.552,-29.527,2.5314
4.9923,0.024698,0.0018534,-38.561,-26.529,0.40925
4.9935,0.017185,0.0095325,-38.635,-27.572,1.3639
4.9946,0.011059,0.018401,-38.641,-28.645,2.5096
4.9876,0.0031634,0.026129,-38.58,-29.537,3.5855
4.9994,0.0089529,0.00044613,-39.485,-25.531,0.4716
4.9994,0.0068538,0.0028968,-39.533,-26.533,1.455
4.9994,0.0053651,0.0055983,-39.525,-27.558,2.5316
4.9995,0.0033487,0.0073684,-39.537,-28.582,3.5859
4.9982,0.00071079,0.0090313,-39.494,-29.494,4.5945
4.7849,0.011842,0.014259,-34.522,-29.487,0.47084
4.8899,0.039208,0.010477,-35.515,-28.569,0.40884
4.8641,0.010334,0.048081,-35.519,-29.534,1.4497
4.9367,0.045439,0.0066212,-36.521,-27.552,0.41422
4.9431,0.029247,0.03167,-36.532,-28.638,1.3547
4.9249,0.0078623,0.056228,-36.532,-29.52,2.5163
4.9719,0.043927,0.0038877,-37.542,-26.536,0.41416
4.9743,0.030942,0.019049,-37.573,-27.583,1.3462
4.9784,0.020094,0.034732,-37.58,-28.636,2.4756
4.9666,0.0054649,0.047997,-37.561,-29.521,3.5672
4.9927,0.030593,0.0017503,-38.563,-25.535,0.40872
4.9935,0.022903,0.009025,-38.633,-26.545,1.3544
4.994,0.01672,0.017732,-38.63,-27.589,2.4758
4.9955,0.010538,0.024377,-38.642,-28.646,3.5596
4.9896,0.002884,0.031187,-38.583,-29.537,4.5836
4.9994,0.010457,0.00042341,-39.485,-24.546,0.47093
4.9994,0.0084522,0.002713,-39.532,-25.537,1.4497
4.9994,0.0068201,0.0052935,-39.519,-26.543,2.5162
4.9995,0.0050951,0.0072409,-39.52,-27.567,3.5675
4.9996,0.0030949,0.0085541,-39.536,-28.585,4.5839
4.9983,0.00065193,0.00983,-39.494,-29.495,5.5705
4.6975,0.012886,0.019367,-33.535,-29.487,0.47057
4.8254,0.046338,0.014316,-34.523,-28.569,0.40841
4.7959,0.011683,0.066411,-34.525,-29.534,1.4477
4.8875,0.059083,0.0095276,-35.518,-27.554,0.41445
4.8966,0.036283,0.04508,-35.524,-28.638,1.3506
4.8752,0.0093579,0.082304,-35.524,-29.519,2.5103
4.9382,0.064316,0.0063022,-36.524,-26.539,0.41668
4.9411,0.044349,0.029981,-36.54,-27.588,1.3386
4.9487,0.027501,0.053238,-36.546,-28.63,2.4584
4.9343,0.0073756,0.076753,-36.538,-29.514,3.5578
4.9737,0.055127,0.0036824,-37.544,-25.537,0.41438
4.9748,0.04247,0.018118,-37.578,-26.554,1.3385
4.9766,0.029573,0.033002,-37.589,-27.599,2.4373
4.9818,0.018908,0.046079,-37.588,-28.632,3.536
4.972,0.0049493,0.055111,-37.565,-29.52,4.575
4.9935,0.035721,0.0016374,-38.564,-24.547,0.40833
4.994,0.028551,0.0084811,-38.633,-25.543,1.3503
4.994,0.022415,0.016977,-38.624,-26.559,2.4583
4.9948,0.015959,0.023745,-38.627,-27.597,3.5362
4.9964,0.0097699,0.028616,-38.643,-28.647,4.5701
4.9915,0.0025475,0.032712,-38.585,-29.537,5.5662
4.9995,0.011671,0.00039414,-39.486,-23.563,0.47072
4.9995,0.0098732,0.0025112,-39.532,-24.549,1.4479
4.9995,0.0083748,0.0049824,-39.517,-25.542,2.5103
4.9995,0.0065669,0.0069515,-39.512,-26.549,3.5579
4.9996,0.004764,0.0084267,-39.518,-27.57,4.5752
4.9997,0.0028404,0.0092579,-39.536,-28.586,5.5663
4.9985,0.00060731,0.010161,-39.494,-29.495,6.5423
4.5954,0.011603,0.025632,-32.548,-29.487,0.4705
4.742,0.049701,0.018996,-33.535,-28.57,0.40822
4.7132,0.012004,0.090067,-33.536,-29.534,1.4471
4.8205,0.072312,0.013144,-34.524,-27.555,0.41422
4.8346,0.041902,0.061455,-34.528,-28.639,1.3488
4.8132,0.010639,0.11317,-34.527,-29.518,2.5082
4.8899,0.086408,0.0090875,-35.519,-26.54,0.41699
4.8937,0.057742,0.042964,-35.529,-27.589,1.335
4.906,0.03392,0.075295,-35.533,-28.628,2.4509
4.8915,0.0089534,0.10788,-35.527,-29.511,3.5538
4.9422,0.081875,0.0059802,-36.525,-25.539,0.41695
4.9425,0.062871,0.028652,-36.544,-26.559,1.3301
4.9463,0.042282,0.050735,-36.556,-27.602,2.4153
4.9562,0.026088,0.070677,-36.553,-28.624,3.5216
4.9453,0.0067964,0.088211,-36.54,-29.512,4.5702
4.9765,0.06476,0.0034305,-37.544,-24.549,0.41411
4.9765,0.053468,0.01706,-37.579,-25.548,1.3346
4.9769,0.040783,0.031363,-37.593,-26.57,2.4151
4.9799,0.028004,0.044227,-37.597,-27.606,3.5047
4.9854,0.017537,0.054141,-37.592,-28.631,4.556
4.9776,0.0045105,0.060945,-37.566,-29.519,5.5626
4.9945,0.039801,0.0015082,-38.564,-23.564,0.40813
4.9946,0.033433,0.0078721,-38.633,-24.551,1.3484
4.9943,0.027962,0.016022,-38.622,-25.551,2.4506
4.9947,0.021454,0.022856,-38.619,-26.566,3.5216
4.9958,0.015,0.027981,-38.626,-27.6,4.5561
4.9973,0.0089808,0.031104,-38.644,-28.648,5.5593
4.9934,0.0022625,0.033844,-38.585,-29.537,6.5409
4.9996,0.012522,0.0003599,-39.486,-22.581,0.47066
4.9996,0.011013,0.0022902,-39.532,-23.564,1.4473
4.9995,0.0097637,0.0046324,-39.517,-24.551,2.5082
4.9995,0.0080874,0.0065722,-39.51,-25.544,3.5537
4.9996,0.0061918,0.00813,-39.51,-26.551,4.5703
4.9997,0.0044148,0.0091353,-39.518,-27.571,5.5627
4.9998,0.0026284,0.0095479,-39.536,-28.587,6.5409
4.9986,0.00053244,0.010014,-39.494,-29.495,7.5125
4.4836,0.0054808,0.033515,-31.561,-29.487,0.47049
4.6353,0.044212,0.025013,-32.548,-28.569,0.40819
4.6171,0.0096582,0.12024,-32.548,-29.534,1.4469
4.7312,0.083423,0.017801,-33.535,-27.555,0.41408
4.7548,0.043989,0.081862,-33.537,-28.639,1.3481
4.7388,0.010827,0.15022,-33.537,-29.518,2.5075
4.8231,0.11036,0.012528,-34.525,-26.541,0.41673
4.8294,0.070633,0.059067,-34.531,-27.59,1.333
4.8494,0.039379,0.1025,-34.533,-28.628,2.4477
4.8387,0.010222,0.14669,-34.529,-29.511,3.5522
4.8969,0.11179,0.008612,-35.52,-25.54,0.41717
4.8959,0.084647,0.041089,-35.532,-26.561,1.3256
4.9029,0.055107,0.072187,-35.541,-27.604,2.405
4.9196,0.032588,0.10011,-35.538,-28.622,3.5144
4.9106,0.0083942,0.12694,-35.528,-29.509,4.568
