"U:0","U:1","U:2","Points:0","Points:1","Points:2"
4.9971,0.00096108,0.00064104,-39.405,-29.404,0.59847
4.9836,0.0045098,0.0029192,-38.445,-29.471,0.50265
4.9993,0.0042555,0.00061747,-39.473,-28.446,0.50129
4.9974,0.00088595,0.0032142,-39.476,-29.475,1.6521
4.9535,0.0074884,0.0059652,-37.491,-29.483,0.48065
4.993,0.012885,0.0022967,-38.538,-28.539,0.41513
4.9851,0.0047556,0.013914,-38.546,-29.541,1.5143
4.9993,0.0057593,0.00049169,-39.482,-27.498,0.47977
4.9993,0.0036885,0.0032663,-39.542,-28.545,1.5128
4.9979,0.00087335,0.0059796,-39.489,-29.489,2.625
4.9073,0.009919,0.0087434,-36.504,-29.486,0.47402
4.9741,0.022578,0.0047601,-37.523,-28.56,0.40999
4.9598,0.0068085,0.02167,-37.532,-29.537,1.4712
4.9926,0.018204,0.0019275,-38.555,-27.531,0.40984
4.9943,0.011727,0.0098856,-38.635,-28.637,1.3886
4.986,0.0033094,0.01764,-38.571,-29.539,2.5649
4.9993,0.0070941,0.0004436,-39.484,-26.518,0.4736
4.9994,0.005286,0.0029614,-39.536,-27.537,1.4703
4.9995,0.0035303,0.0055571,-39.539,-28.573,2.565
4.9981,0.00075276,0.0073576,-39.493,-29.493,3.6114
4.843,0.014181,0.013588,-35.512,-29.487,0.47166
4.9428,0.033324,0.0077028,-36.515,-28.566,0.40944
4.9218,0.0085649,0.031163,-36.521,-29.534,1.4555
4.9725,0.031626,0.0039997,-37.536,-27.546,0.41227
4.9778,0.021085,0.019803,-37.563,-28.639,1.3639
4.9623,0.0062471,0.037408,-37.552,-29.527,2.5314
4.9925,0.023978,0.0017716,-38.561,-26.529,0.40925
4.9938,0.0168,0.0091014,-38.635,-27.572,1.3639
4.9949,0.011005,0.017607,-38.641,-28.645,2.5096
4.988,0.0032005,0.026554,-38.58,-29.537,3.5855
4.9994,0.0087008,0.00042597,-39.485,-25.531,0.4716
4.9994,0.0066745,0.0027695,-39.533,-26.533,1.455
4.9995,0.0051987,0.0053041,-39.525,-27.558,2.5316
4.9995,0.0032655,0.0070374,-39.537,-28.582,3.5859
4.9982,0.00073725,0.0090227,-39.494,-29.494,4.5945
4.7521,0.018791,0.019215,-34.522,-29.487,0.47084
4.8995,0.045461,0.011078,-35.515,-28.569,0.40884
4.8709,0.01218,0.052508,-35.519,-29.534,1.4497
4.9382,0.045588,0.0064109,-36.521,-27.552,0.41422
4.948,0.029126,0.03072,-36.532,-28.638,1.3547
4.9251,0.0081816,0.060783,-36.532,-29.52,2.5163
4.973,0.042894,0.0037128,-37.542,-26.536,0.41416
4.9756,0.030109,0.01814,-37.573,-27.583,1.3462
4.9797,0.01979,0.032995,-37.58,-28.636,2.4756
4.9676,0.005385,0.043929,-37.561,-29.521,3.5672
4.9931,0.029581,0.0016538,-38.563,-25.535,0.40872
4.9938,0.022245,0.008611,-38.633,-26.545,1.3544
4.9942,0.01623,0.016844,-38.63,-27.589,2.4758
4.9957,0.010215,0.023132,-38.642,-28.646,3.5596
4.9897,0.0027171,0.027387,-38.583,-29.537,4.5836
4.9995,0.010145,0.0004028,-39.485,-24.546,0.47093
4.9995,0.0082077,0.0025867,-39.532,-25.537,1.4497
4.9994,0.0066314,0.0050447,-39.519,-26.543,2.5162
4.9995,0.0049666,0.006909,-39.52,-27.567,3.5675
4.9996,0.0030349,0.008168,-39.536,-28.585,4.5839
4.9984,0.00066648,0.0093716,-39.494,-29.495,5.5705
4.6292,0.022663,0.026003,-33.535,-29.487,0.47057
4.8428,0.06144,0.015559,-34.523,-28.569,0.40841
4.8056,0.017361,0.08602,-34.525,-29.534,1.4477
4.8891,0.058352,0.0093201,-35.518,-27.554,0.41445
4.9054,0.038028,0.043764,-35.524,-28.638,1.3506
4.875,0.010989,0.076245,-35.524,-29.519,2.5103
4.9418,0.063378,0.0059665,-36.524,-26.539,0.41668
4.9434,0.043238,0.028855,-36.54,-27.588,1.3386
4.9513,0.027223,0.050721,-36.546,-28.63,2.4584
4.9377,0.0069556,0.068985,-36.538,-29.514,3.5578
4.9749,0.053324,0.0034035,-37.544,-25.537,0.41438
4.9762,0.041312,0.017201,-37.578,-26.554,1.3385
4.9774,0.028887,0.031544,-37.589,-27.599,2.4373
4.9828,0.018548,0.043831,-37.588,-28.632,3.536
4.973,0.0050316,0.053158,-37.565,-29.52,4.575
4.9938,0.034438,0.0015561,-38.564,-24.547,0.40833
4.9943,0.027646,0.0080732,-38.633,-25.543,1.3503
4.9942,0.02172,0.016055,-38.624,-26.559,2.4583
4.995,0.015461,0.022476,-38.627,-27.597,3.5362
4.9966,0.0095519,0.027139,-38.643,-28.647,4.5701
4.9909,0.0025732,0.032592,-38.585,-29.537,5.5662
4.9995,0.011248,0.00037418,-39.486,-23.563,0.47072
4.9995,0.0095556,0.0023885,-39.532,-24.549,1.4479
4.9995,0.0081402,0.0047474,-39.517,-25.542,2.5103
4.9995,0.0063915,0.0066214,-39.512,-26.549,3.5579
4.9996,0.0046431,0.0080212,-39.518,-27.57,4.5752
4.9997,0.0028501,0.0088868,-39.536,-28.586,5.5663
4.9985,0.00059617,0.0096053,-39.494,-29.495,6.5423
4.4805,0.023664,0.034085,-32.548,-29.487,0.4705
4.7712,0.084546,0.022246,-33.535,-28.57,0.40822
4.7245,0.022398,0.11384,-33.536,-29.534,1.4471
4.8245,0.064148,0.017358,-34.524,-27.555,0.41422
4.8507,0.047851,0.060627,-34.528,-28.639,1.3488
4.8125,0.019148,0.095161,-34.527,-29.518,2.5082
4.8989,0.084181,0.0092042,-35.519,-26.54,0.41699
4.8982,0.055955,0.041742,-35.529,-27.589,1.335
4.9105,0.033502,0.071838,-35.533,-28.628,2.4509
4.899,0.0086459,0.106,-35.527,-29.511,3.5538
4.9447,0.079256,0.0057396,-36.525,-25.539,0.41695
4.9463,0.061319,0.027285,-36.544,-26.559,1.3301
4.9472,0.041203,0.048226,-36.556,-27.602,2.4153
4.9592,0.025489,0.067949,-36.553,-28.624,3.5216
4.9479,0.0066741,0.085829,-36.54,-29.512,4.5702
4.9777,0.062232,0.0032558,-37.544,-24.549,0.41411
