"U:0","U:1","U:2","Points:0","Points:1","Points:2"
4.997,0.00099889,0.0006806,-39.405,-29.404,0.59847
4.9836,0.0044283,0.0030056,-38.445,-29.471,0.50265
4.9992,0.0043889,0.00066078,-39.473,-28.446,0.50129
4.9974,0.00097893,0.0036261,-39.476,-29.475,1.6521
4.9544,0.0065075,0.0052251,-37.491,-29.483,0.48065
4.9924,0.013186,0.0024598,-38.538,-28.539,0.41513
4.9838,0.0041332,0.01229,-38.546,-29.541,1.5143
4.9993,0.0059769,0.0005323,-39.482,-27.498,0.47977
4.9993,0.0038641,0.0035325,-39.542,-28.545,1.5128
4.9979,0.0008683,0.0061578,-39.489,-29.489,2.625
4.9104,0.0079932,0.0071314,-36.504,-29.486,0.47402
4.9717,0.022312,0.0048696,-37.523,-28.56,0.40999
4.957,0.007197,0.025417,-37.532,-29.537,1.4712
4.9919,0.019056,0.0021069,-38.555,-27.531,0.40984
4.9937,0.011929,0.010568,-38.635,-28.637,1.3886
4.9856,0.0037208,0.02234,-38.571,-29.539,2.5649
4.9993,0.0074496,0.00048229,-39.484,-26.518,0.4736
4.9994,0.0055094,0.0031987,-39.536,-27.537,1.4703
4.9994,0.0036828,0.0060193,-39.539,-28.573,2.565
4.998,0.0007925,0.0080358,-39.493,-29.493,3.6114
4.8526,0.010077,0.010518,-35.512,-29.487,0.47166
4.9364,0.03126,0.007651,-36.515,-28.566,0.40944
4.9155,0.0088659,0.035099,-36.521,-29.534,1.4555
4.9704,0.03274,0.0043225,-37.536,-27.546,0.41227
4.9751,0.021494,0.021043,-37.563,-28.639,1.3639
4.9605,0.0060683,0.037002,-37.552,-29.527,2.5314
4.992,0.025279,0.0019302,-38.561,-26.529,0.40925
4.9933,0.017573,0.0099137,-38.635,-27.572,1.3639
4.9945,0.011296,0.019123,-38.641,-28.645,2.5096
4.9874,0.0032721,0.027748,-38.58,-29.537,3.5855
4.9993,0.0091773,0.00046458,-39.485,-25.531,0.4716
4.9994,0.0070168,0.0030166,-39.533,-26.533,1.455
4.9994,0.0054804,0.0058131,-39.525,-27.558,2.5316
4.9995,0.0034134,0.0076431,-39.537,-28.582,3.5859
4.9982,0.0007265,0.0094022,-39.494,-29.494,4.5945
4.779,0.011939,0.014695,-34.522,-29.487,0.47084
4.8865,0.039761,0.010878,-35.515,-28.569,0.40884
4.8602,0.010584,0.0505,-35.519,-29.534,1.4497
4.9347,0.046309,0.0068978,-36.521,-27.552,0.41422
4.9414,0.029747,0.032911,-36.532,-28.638,1.3547
4.9228,0.0080729,0.059407,-36.532,-29.52,2.5163
4.9709,0.04493,0.0040525,-37.542,-26.536,0.41416
4.9735,0.031589,0.019832,-37.573,-27.583,1.3462
4.9778,0.020449,0.036069,-37.58,-28.636,2.4756
4.9657,0.0055613,0.04912,-37.561,-29.521,3.5672
4.9924,0.031384,0.0018259,-38.563,-25.535,0.40872
4.9933,0.023442,0.0093992,-38.633,-26.545,1.3544
4.9938,0.017089,0.018431,-38.63,-27.589,2.4758
4.9954,0.010753,0.02531,-38.642,-28.646,3.5596
4.9893,0.0029251,0.032043,-38.583,-29.537,4.5836
4.9994,0.01075,0.00044204,-39.485,-24.546,0.47093
4.9994,0.0086732,0.0028304,-39.532,-25.537,1.4497
4.9994,0.0069807,0.0055058,-39.519,-26.543,2.5162
4.9995,0.0052062,0.0075184,-39.52,-27.567,3.5675
4.9996,0.0031562,0.0088717,-39.536,-28.585,4.5839
4.9983,0.00066337,0.010189,-39.494,-29.495,5.5705
4.6892,0.012968,0.019923,-33.535,-29.487,0.47057
4.8201,0.046739,0.014836,-34.523,-28.569,0.40841
4.79,0.012052,0.069699,-34.525,-29.534,1.4477
4.8839,0.060043,0.0099186,-35.518,-27.554,0.41445
4.8934,0.036764,0.046795,-35.524,-28.638,1.3506
4.8718,0.0096225,0.085449,-35.524,-29.519,2.5103
4.9359,0.065681,0.0065682,-36.524,-26.539,0.41668
4.9391,0.045188,0.031203,-36.54,-27.588,1.3386
4.947,0.02807,0.055283,-36.546,-28.63,2.4584
4.9325,0.0075216,0.078665,-36.538,-29.514,3.5578
4.9726,0.056518,0.0038458,-37.544,-25.537,0.41438
4.9739,0.043439,0.018879,-37.578,-26.554,1.3385
4.9758,0.030195,0.03432,-37.589,-27.599,2.4373
4.9812,0.019294,0.047867,-37.588,-28.632,3.536
4.9713,0.005076,0.05752,-37.565,-29.52,4.575
4.9932,0.036752,0.001712,-38.564,-24.547,0.40833
4.9937,0.029291,0.0088479,-38.633,-25.543,1.3503
4.9937,0.022953,0.01767,-38.624,-26.559,2.4583
4.9946,0.016325,0.024681,-38.627,-27.597,3.5362
4.9963,0.0099856,0.029726,-38.643,-28.647,4.5701
4.9913,0.0026147,0.034501,-38.585,-29.537,5.5662
4.9995,0.012037,0.00041252,-39.486,-23.563,0.47072
4.9995,0.010161,0.0026259,-39.532,-24.549,1.4479
4.9994,0.008592,0.0051926,-39.517,-25.542,2.5103
4.9995,0.0067254,0.0072306,-39.512,-26.549,3.5579
4.9996,0.0048716,0.0087496,-39.518,-27.57,4.5752
4.9997,0.0029014,0.009614,-39.536,-28.586,5.5663
4.9985,0.00061399,0.010508,-39.494,-29.495,6.5423
4.5847,0.011591,0.026434,-32.548,-29.487,0.4705
