"U:0","U:1","U:2","Points:0","Points:1","Points:2"
4.997,0.0010068,0.0006933,-39.405,-29.404,0.59847
4.9834,0.0044653,0.0030601,-38.445,-29.471,0.50265
4.9992,0.0044165,0.00067191,-39.473,-28.446,0.50129
4.9974,0.00098693,0.0036912,-39.476,-29.475,1.6521
4.9539,0.0065627,0.0053227,-37.491,-29.483,0.48065
4.9923,0.013284,0.0025049,-38.538,-28.539,0.41513
4.9836,0.004174,0.012519,-38.546,-29.541,1.5143
4.9993,0.0060188,0.00054188,-39.482,-27.498,0.47977
4.9993,0.0038933,0.0035935,-39.542,-28.545,1.5128
4.9979,0.00087554,0.0062679,-39.489,-29.489,2.625
4.9093,0.0080584,0.0072639,-36.504,-29.486,0.47402
4.9713,0.022472,0.0049614,-37.523,-28.56,0.40999
4.9565,0.0072504,0.025807,-37.532,-29.537,1.4712
4.9918,0.019199,0.002149,-38.555,-27.531,0.40984
4.9936,0.012027,0.010755,-38.635,-28.637,1.3886
4.9854,0.0037515,0.022712,-38.571,-29.539,2.5649
4.9993,0.0075107,0.00049099,-39.484,-26.518,0.4736
4.9994,0.0055506,0.0032549,-39.536,-27.537,1.4703
4.9994,0.0037099,0.0061211,-39.539,-28.573,2.565
4.998,0.0007991,0.0081794,-39.493,-29.493,3.6114
4.8508,0.010154,0.010709,-35.512,-29.487,0.47166
4.9356,0.03146,0.0077928,-36.515,-28.566,0.40944
4.9146,0.0089409,0.035741,-36.521,-29.534,1.4555
4.97,0.032969,0.004409,-37.536,-27.546,0.41227
4.9747,0.021661,0.021419,-37.563,-28.639,1.3639
4.9601,0.0061248,0.037684,-37.552,-29.527,2.5314
4.9918,0.025495,0.0019687,-38.561,-26.529,0.40925
4.9932,0.017708,0.010099,-38.635,-27.572,1.3639
4.9944,0.011388,0.019456,-38.641,-28.645,2.5096
4.9872,0.0032978,0.028207,-38.58,-29.537,3.5855
4.9993,0.0092635,0.00047352,-39.485,-25.531,0.4716
4.9994,0.0070779,0.0030744,-39.533,-26.533,1.455
4.9994,0.0055243,0.0059157,-39.525,-27.558,2.5316
4.9995,0.0034394,0.0077737,-39.537,-28.582,3.5859
4.9982,0.00073235,0.0095676,-39.494,-29.494,4.5945
4.7764,0.01202,0.014956,-34.522,-29.487,0.47084
4.8851,0.039974,0.011077,-35.515,-28.569,0.40884
4.8586,0.01066,0.051402,-35.519,-29.534,1.4497
4.9337,0.046591,0.0070322,-36.521,-27.552,0.41422
4.9406,0.029944,0.033496,-36.532,-28.638,1.3547
4.9219,0.0081356,0.060427,-36.532,-29.52,2.5163
4.9704,0.045291,0.004135,-37.542,-26.536,0.41416
4.9731,0.031816,0.020204,-37.573,-27.583,1.3462
4.9775,0.020609,0.036699,-37.58,-28.636,2.4756
4.9653,0.0056089,0.049935,-37.561,-29.521,3.5672
4.9923,0.031686,0.001864,-38.563,-25.535,0.40872
4.9932,0.023639,0.0095831,-38.633,-26.545,1.3544
4.9937,0.017225,0.018763,-38.63,-27.589,2.4758
4.9953,0.010841,0.025754,-38.642,-28.646,3.5596
4.9892,0.0029502,0.032603,-38.583,-29.537,4.5836
4.9994,0.010866,0.00045123,-39.485,-24.546,0.47093
4.9994,0.0087585,0.0028877,-39.532,-25.537,1.4497
4.9994,0.007043,0.0056083,-39.519,-26.543,2.5162
4.9995,0.0052493,0.0076507,-39.52,-27.567,3.5675
4.9996,0.0031811,0.009024,-39.536,-28.585,4.5839
4.9983,0.00066862,0.010373,-39.494,-29.495,5.5705
4.6856,0.013042,0.020278,-33.535,-29.487,0.47057
4.8178,0.046921,0.015103,-34.523,-28.569,0.40841
4.7876,0.012117,0.070892,-34.525,-29.534,1.4477
4.8823,0.060332,0.010109,-35.518,-27.554,0.41445
4.892,0.036959,0.047617,-35.524,-28.638,1.3506
4.8703,0.0096781,0.08689,-35.524,-29.519,2.5103
4.9349,0.066153,0.0066996,-36.524,-26.539,0.41668
4.9383,0.045474,0.031782,-36.54,-27.588,1.3386
4.9463,0.028252,0.056248,-36.546,-28.63,2.4584
4.9317,0.007583,0.0801,-36.538,-29.514,3.5578
4.9721,0.057036,0.0039282,-37.544,-25.537,0.41438
4.9735,0.043788,0.01925,-37.578,-26.554,1.3385
4.9755,0.030421,0.03494,-37.589,-27.599,2.4373
4.981,0.019449,0.048711,-37.588,-28.632,3.536
4.971,0.0051221,0.058545,-37.565,-29.52,4.575
4.993,0.037156,0.00175,-38.564,-24.547,0.40833
4.9936,0.029572,0.00903,-38.633,-25.543,1.3503
4.9936,0.023156,0.018004,-38.624,-26.559,2.4583
4.9946,0.016462,0.025127,-38.627,-27.597,3.5362
4.9962,0.01007,0.03025,-38.643,-28.647,4.5701
4.9912,0.002636,0.035089,-38.585,-29.537,5.5662
4.9995,0.012186,0.00042182,-39.486,-23.563,0.47072
4.9995,0.010275,0.0026826,-39.532,-24.549,1.4479
4.9994,0.0086779,0.005295,-39.517,-25.542,2.5103
4.9994,0.0067878,0.0073649,-39.512,-26.549,3.5579
4.9996,0.0049142,0.0089042,-39.518,-27.57,4.5752
4.9997,0.0029253,0.0097826,-39.536,-28.586,5.5663
4.9985,0.00061782,0.010694,-39.494,-29.495,6.5423
4.5798,0.01164,0.026902,-32.548,-29.487,0.4705
4.7309,0.050036,0.020032,-33.535,-28.57,0.40822
4.7015,0.012355,0.095412,-33.536,-29.534,1.4471
4.8124,0.073474,0.013929,-34.524,-27.555,0.41422
4.8274,0.042661,0.064914,-34.528,-28.639,1.3488
4.8058,0.010902,0.11864,-34.527,-29.518,2.5082
4.8842,0.088548,0.0096597,-35.519,-26.54,0.41699
4.8888,0.059019,0.045509,-35.529,-27.589,1.335
4.9019,0.034744,0.079591,-35.533,-28.628,2.4509
4.8872,0.0092018,0.11455,-35.527,-29.511,3.5538
4.9387,0.084525,0.0063786,-36.525,-25.539,0.41695
4.9395,0.064674,0.030436,-36.544,-26.559,1.3301
4.9437,0.043416,0.053723,-36.556,-27.602,2.4153
4.9543,0.026853,0.07476,-36.553,-28.624,3.5216
4.9432,0.0070219,0.093955,-36.54,-29.512,4.5702
4.9748,0.067308,0.0036741,-37.544,-24.549,0.41411
4.9751,0.055325,0.018178,-37.579,-25.548,1.3346
4.9757,0.042085,0.033281,-37.593,-26.57,2.4151
4.979,0.028857,0.046827,-37.597,-27.606,3.5047
4.9847,0.018105,0.057262,-37.592,-28.631,4.556
4.9768,0.0046263,0.0635,-37.566,-29.519,5.5626
4.994,0.04161,0.0016181,-38.564,-23.564,0.40813
4.9942,0.034779,0.0084104,-38.633,-24.551,1.3484
4.994,0.028987,0.017043,-38.622,-25.551,2.4506
4.9944,0.022192,0.024243,-38.619,-26.566,3.5216
4.9956,0.015496,0.02962,-38.626,-27.6,4.5561
4.9972,0.0092454,0.032897,-38.644,-28.648,5.5593
4.9932,0.0023393,0.035804,-38.585,-29.537,6.5409
