"U:0","U:1","U:2","Points:0","Points:1","Points:2"
4.997,0.0010013,0.00068439,-39.405,-29.404,0.59847
4.9835,0.00444,0.0030224,-38.445,-29.471,0.50265
4.9992,0.0043971,0.00066414,-39.473,-28.446,0.50129
4.9974,0.00098188,0.0036483,-39.476,-29.475,1.6521
4.9543,0.0065236,0.0052548,-37.491,-29.483,0.48065
4.9924,0.013218,0.0024735,-38.538,-28.539,0.41513
4.9837,0.004141,0.012342,-38.546,-29.541,1.5143
4.9993,0.0059898,0.00053522,-39.482,-27.498,0.47977
4.9993,0.0038733,0.0035518,-39.542,-28.545,1.5128
4.9979,0.00087063,0.0061931,-39.489,-29.489,2.625
4.91,0.0080106,0.0071701,-36.504,-29.486,0.47402
4.9715,0.022363,0.0048967,-37.523,-28.56,0.40999
4.9568,0.0072107,0.025536,-37.532,-29.537,1.4712
4.9919,0.019102,0.0021193,-38.555,-27.531,0.40984
4.9937,0.01196,0.010626,-38.635,-28.637,1.3886
4.9855,0.0037275,0.022446,-38.571,-29.539,2.5649
4.9993,0.0074681,0.00048494,-39.484,-26.518,0.4736
4.9994,0.0055221,0.0032163,-39.536,-27.537,1.4703
4.9994,0.0036914,0.0060519,-39.539,-28.573,2.565
4.998,0.00079453,0.0080818,-39.493,-29.493,3.6114
4.852,0.010098,0.01057,-35.512,-29.487,0.47166
4.9362,0.031319,0.0076915,-36.515,-28.566,0.40944
4.9152,0.0088906,0.035319,-36.521,-29.534,1.4555
4.9703,0.032814,0.0043476,-37.536,-27.546,0.41227
4.975,0.021542,0.021156,-37.563,-28.639,1.3639
4.9604,0.0060881,0.037252,-37.552,-29.527,2.5314
4.9919,0.025345,0.0019416,-38.561,-26.529,0.40925
4.9932,0.017615,0.0099707,-38.635,-27.572,1.3639
4.9944,0.011323,0.019227,-38.641,-28.645,2.5096
4.9873,0.0032796,0.027896,-38.58,-29.537,3.5855
4.9993,0.0092031,0.0004673,-39.485,-25.531,0.4716
4.9994,0.007035,0.0030345,-39.533,-26.533,1.455
4.9994,0.0054938,0.0058456,-39.525,-27.558,2.5316
4.9995,0.0034214,0.0076849,-39.537,-28.582,3.5859
4.9982,0.00072823,0.0094545,-39.494,-29.494,4.5945
4.7782,0.011967,0.014765,-34.522,-29.487,0.47084
4.8861,0.03983,0.010934,-35.515,-28.569,0.40884
4.8597,0.010613,0.05079,-35.519,-29.534,1.4497
4.9344,0.046403,0.0069362,-36.521,-27.552,0.41422
4.9411,0.029804,0.033085,-36.532,-28.638,1.3547
4.9225,0.0080957,0.059723,-36.532,-29.52,2.5163
4.9707,0.045042,0.0040765,-37.542,-26.536,0.41416
4.9733,0.031662,0.019944,-37.573,-27.583,1.3462
4.9777,0.020502,0.036264,-37.58,-28.636,2.4756
4.9656,0.0055742,0.049309,-37.561,-29.521,3.5672
4.9924,0.031476,0.0018372,-38.563,-25.535,0.40872
4.9933,0.023502,0.0094554,-38.633,-26.545,1.3544
4.9938,0.017131,0.018535,-38.63,-27.589,2.4758
4.9953,0.010779,0.02545,-38.642,-28.646,3.5596
4.9893,0.0029318,0.032213,-38.583,-29.537,4.5836
4.9994,0.010784,0.00044484,-39.485,-24.546,0.47093
4.9994,0.0086983,0.0028481,-39.532,-25.537,1.4497
4.9994,0.0069994,0.0055381,-39.519,-26.543,2.5162
4.9995,0.0052194,0.0075606,-39.52,-27.567,3.5675
4.9996,0.0031638,0.0089204,-39.536,-28.585,4.5839
4.9983,0.00066486,0.010248,-39.494,-29.495,5.5705
4.688,0.013002,0.020023,-33.535,-29.487,0.47057
4.8194,0.046816,0.014912,-34.523,-28.569,0.40841
4.7893,0.01208,0.07005,-34.525,-29.534,1.4477
4.8834,0.060147,0.0099721,-35.518,-27.554,0.41445
4.8929,0.036833,0.04704,-35.524,-28.638,1.3506
4.8713,0.0096387,0.085849,-35.524,-29.519,2.5103
4.9356,0.06583,0.0066056,-36.524,-26.539,0.41668
4.9389,0.045283,0.031375,-36.54,-27.588,1.3386
4.9468,0.028132,0.055579,-36.546,-28.63,2.4584
4.9323,0.00754,0.079134,-36.538,-29.514,3.5578
4.9724,0.056676,0.0038697,-37.544,-25.537,0.41438
4.9738,0.043547,0.01899,-37.578,-26.554,1.3385
4.9757,0.030267,0.034511,-37.589,-27.599,2.4373
4.9811,0.019343,0.04813,-37.588,-28.632,3.536
4.9712,0.0050905,0.057876,-37.565,-29.52,4.575
4.9932,0.036873,0.0017233,-38.564,-24.547,0.40833
4.9937,0.029376,0.0089034,-38.633,-25.543,1.3503
4.9937,0.023015,0.017774,-38.624,-26.559,2.4583
4.9946,0.016367,0.024821,-38.627,-27.597,3.5362
4.9963,0.01001,0.029891,-38.643,-28.647,4.5701
4.9912,0.0026206,0.034696,-38.585,-29.537,5.5662
4.9995,0.012082,0.00041535,-39.486,-23.563,0.47072
4.9995,0.010194,0.0026434,-39.532,-24.549,1.4479
4.9994,0.0086177,0.0052247,-39.517,-25.542,2.5103
4.9994,0.0067442,0.0072732,-39.512,-26.549,3.5579
4.9996,0.0048845,0.008799,-39.518,-27.57,4.5752
4.9997,0.0029085,0.0096686,-39.536,-28.586,5.5663
4.9985,0.00061485,0.010566,-39.494,-29.495,6.5423
4.5831,0.01163,0.026571,-32.548,-29.487,0.4705
4.7332,0.050023,0.019782,-33.535,-28.57,0.40822
4.7038,0.01234,0.094276,-33.536,-29.534,1.4471
4.8141,0.073343,0.013742,-34.524,-27.555,0.41422
4.8288,0.042581,0.064137,-34.528,-28.639,1.3488
4.8073,0.010867,0.11724,-34.527,-29.518,2.5082
4.8854,0.088191,0.0095244,-35.519,-26.54,0.41699
4.8898,0.058827,0.044929,-35.529,-27.589,1.335
4.9027,0.03463,0.078651,-35.533,-28.628,2.4509
4.8881,0.0091579,0.11323,-35.527,-29.511,3.5538
4.9394,0.084039,0.0062833,-36.525,-25.539,0.41695
4.9402,0.064354,0.030027,-36.544,-26.559,1.3301
4.9442,0.043224,0.05306,-36.556,-27.602,2.4153
4.9547,0.026723,0.073865,-36.553,-28.624,3.5216
4.9437,0.0069814,0.092843,-36.54,-29.512,4.5702
4.9752,0.066814,0.0036157,-37.544,-24.549,0.41411
4.9754,0.054975,0.017919,-37.579,-25.548,1.3346
4.976,0.041841,0.032852,-37.593,-26.57,2.4151
4.9792,0.028699,0.04625,-37.597,-27.606,3.5047
4.9849,0.017999,0.056574,-37.592,-28.631,4.556
4.9769,0.0045959,0.062706,-37.566,-29.519,5.5626
4.9941,0.041246,0.0015917,-38.564,-23.564,0.40813
4.9943,0.034513,0.008285,-38.633,-24.551,1.3484
4.9941,0.028787,0.016812,-38.622,-25.551,2.4506
4.9945,0.022049,0.023933,-38.619,-26.566,3.5216
4.9956,0.015399,0.029257,-38.626,-27.6,4.5561
4.9972,0.0091869,0.032503,-38.644,-28.648,5.5593
4.9932,0.0023245,0.035377,-38.585,-29.537,6.5409
4.9996,0.013019,0.00038037,-39.486,-22.581,0.47066
4.9995,0.011415,0.0024184,-39.532,-23.564,1.4473
4.9995,0.010078,0.0048709,-39.517,-24.551,2.5082
4.9995,0.008328,0.0068922,-39.51,-25.544,3.5537
4.9995,0.0063654,0.0085072,-39.51,-26.551,4.5703
4.9997,0.004533,0.0095444,-39.518,-27.571,5.5627
4.9998,0.0026826,0.0099521,-39.536,-28.587,6.5409
4.9986,0.00054602,0.010456,-39.494,-29.495,7.5125
4.468,0.0053054,0.034728,-31.561,-29.487,0.47049
4.623,0.044269,0.026067,-32.548,-28.569,0.40819
4.6042,0.0096394,0.12493,-32.548,-29.534,1.4469
4.7218,0.084212,0.018595,-33.535,-27.555,0.41408
4.7465,0.044577,0.08543,-33.537,-28.639,1.3481
4.7305,0.010946,0.15667,-33.537,-29.518,2.5075
4.816,0.11221,0.01313,-34.525,-26.541,0.41673
4.8233,0.071745,0.061747,-34.531,-27.59,1.333
