"U:0","U:1","U:2","Points:0","Points:1","Points:2"
4.9971,0.00099633,0.00067664,-39.405,-29.404,0.59847
4.9837,0.0044156,0.0029904,-38.445,-29.471,0.50265
4.9992,0.0043799,0.00065742,-39.473,-28.446,0.50129
4.9974,0.00097679,0.003607,-39.476,-29.475,1.6521
4.9546,0.0064837,0.0051942,-37.491,-29.483,0.48065
4.9925,0.013152,0.0024468,-38.538,-28.539,0.41513
4.9838,0.0041103,0.012182,-38.546,-29.541,1.5143
4.9993,0.0059621,0.00052947,-39.482,-27.498,0.47977
4.9993,0.0038548,0.0035136,-39.542,-28.545,1.5128
4.9979,0.00086551,0.0061208,-39.489,-29.489,2.625
4.9107,0.0079664,0.0070875,-36.504,-29.486,0.47402
4.9718,0.02224,0.0048416,-37.523,-28.56,0.40999
4.9572,0.0071948,0.025402,-37.532,-29.537,1.4712
4.992,0.019003,0.0020948,-38.555,-27.531,0.40984
4.9937,0.011893,0.010509,-38.635,-28.637,1.3886
4.9856,0.0037162,0.022259,-38.571,-29.539,2.5649
4.9993,0.0074291,0.0004797,-39.484,-26.518,0.4736
4.9994,0.0054955,0.0031819,-39.536,-27.537,1.4703
4.9994,0.0036732,0.0059869,-39.539,-28.573,2.565
4.998,0.00079082,0.0079958,-39.493,-29.493,3.6114
4.8531,0.01005,0.010458,-35.512,-29.487,0.47166
4.9367,0.031168,0.0076076,-36.515,-28.566,0.40944
4.9159,0.0088449,0.034919,-36.521,-29.534,1.4555
4.9706,0.03265,0.0042974,-37.536,-27.546,0.41227
4.9752,0.021422,0.020925,-37.563,-28.639,1.3639
4.9607,0.0060547,0.036802,-37.552,-29.527,2.5314
4.992,0.025203,0.001919,-38.561,-26.529,0.40925
4.9933,0.017523,0.009858,-38.635,-27.572,1.3639
4.9945,0.011267,0.019018,-38.641,-28.645,2.5096
4.9874,0.0032577,0.027522,-38.58,-29.537,3.5855
4.9993,0.0091492,0.00046194,-39.485,-25.531,0.4716
4.9994,0.0069962,0.0029992,-39.533,-26.533,1.455
4.9994,0.0054656,0.0057817,-39.525,-27.558,2.5316
4.9995,0.0034049,0.0076027,-39.537,-28.582,3.5859
4.9982,0.00072445,0.0093486,-39.494,-29.494,4.5945
4.7799,0.011909,0.01462,-34.522,-29.487,0.47084
4.887,0.039668,0.010819,-35.515,-28.569,0.40884
4.8608,0.010552,0.050177,-35.519,-29.534,1.4497
4.9349,0.046188,0.0068584,-36.521,-27.552,0.41422
4.9416,0.029671,0.032733,-36.532,-28.638,1.3547
4.9231,0.0080412,0.058994,-36.532,-29.52,2.5163
4.971,0.044798,0.0040288,-37.542,-26.536,0.41416
4.9736,0.031502,0.019719,-37.573,-27.583,1.3462
4.9778,0.020397,0.035873,-37.58,-28.636,2.4756
4.9658,0.0055473,0.048921,-37.561,-29.521,3.5672
4.9925,0.031283,0.0018149,-38.563,-25.535,0.40872
4.9933,0.023372,0.0093447,-38.633,-26.545,1.3544
4.9938,0.017041,0.018329,-38.63,-27.589,2.4758
4.9954,0.010725,0.025173,-38.642,-28.646,3.5596
4.9894,0.0029193,0.031904,-38.583,-29.537,4.5836
4.9994,0.010713,0.00043936,-39.485,-24.546,0.47093
4.9994,0.0086453,0.0028134,-39.532,-25.537,1.4497
4.9994,0.0069603,0.0054749,-39.519,-26.543,2.5162
4.9995,0.0051919,0.0074777,-39.52,-27.567,3.5675
4.9996,0.003148,0.0088243,-39.536,-28.585,4.5839
4.9983,0.00066185,0.010138,-39.494,-29.495,5.5705
4.6905,0.012928,0.019825,-33.535,-29.487,0.47057
4.8209,0.046641,0.014757,-34.523,-28.569,0.40841
4.7909,0.012006,0.069257,-34.525,-29.534,1.4477
4.8844,0.0599,0.0098625,-35.518,-27.554,0.41445
4.8938,0.036686,0.046546,-35.524,-28.638,1.3506
4.8723,0.0095838,0.084964,-35.524,-29.519,2.5103
4.9362,0.065498,0.0065302,-36.524,-26.539,0.41668
4.9394,0.045071,0.031029,-36.54,-27.588,1.3386
4.9473,0.027983,0.054985,-36.546,-28.63,2.4584
4.9328,0.0075014,0.078383,-36.538,-29.514,3.5578
4.9727,0.056338,0.0038222,-37.544,-25.537,0.41438
4.9741,0.043312,0.018769,-37.578,-26.554,1.3385
4.9759,0.030112,0.034129,-37.589,-27.599,2.4373
