"U:0","U:1","U:2","Points:0","Points:1","Points:2"
4.9971,0.00098884,0.00066687,-39.405,-29.404,0.59847
4.9838,0.0043837,0.0029468,-38.445,-29.471,0.50265
4.9993,0.0043463,0.0006485,-39.473,-28.446,0.50129
4.9974,0.00097104,0.0035655,-39.476,-29.475,1.6521
4.9551,0.0064386,0.005129,-37.491,-29.483,0.48065
4.9926,0.013056,0.0024127,-38.538,-28.539,0.41513
4.984,0.0040751,0.011978,-38.546,-29.541,1.5143
4.9993,0.0059144,0.00052201,-39.482,-27.498,0.47977
4.9993,0.0038229,0.0034668,-39.542,-28.545,1.5128
4.9979,0.00086052,0.0060447,-39.489,-29.489,2.625
4.9117,0.0078959,0.0070014,-36.504,-29.486,0.47402
4.9721,0.022096,0.0047767,-37.523,-28.56,0.40999
4.9576,0.0070873,0.024788,-37.532,-29.537,1.4712
4.9921,0.018841,0.0020633,-38.555,-27.531,0.40984
4.9938,0.011812,0.010369,-38.635,-28.637,1.3886
4.9857,0.003658,0.021806,-38.571,-29.539,2.5649
4.9993,0.0073624,0.00047275,-39.484,-26.518,0.4736
4.9994,0.0054506,0.0031376,-39.536,-27.537,1.4703
4.9994,0.0036483,0.0059116,-39.539,-28.573,2.565
4.998,0.00078325,0.0078718,-39.493,-29.493,3.6114
4.8547,0.0099447,0.010311,-35.512,-29.487,0.47166
4.9375,0.030917,0.0075005,-36.515,-28.566,0.40944
4.9168,0.008771,0.034529,-36.521,-29.534,1.4555
4.971,0.032376,0.0042328,-37.536,-27.546,0.41227
4.9755,0.021259,0.020635,-37.563,-28.639,1.3639
4.9611,0.0059974,0.036397,-37.552,-29.527,2.5314
4.9921,0.024967,0.0018896,-38.561,-26.529,0.40925
4.9934,0.017371,0.0097153,-38.635,-27.572,1.3639
4.9945,0.011158,0.018753,-38.641,-28.645,2.5096
4.9875,0.0032456,0.027372,-38.58,-29.537,3.5855
4.9994,0.0090592,0.0004549,-39.485,-25.531,0.4716
4.9994,0.0069305,0.0029537,-39.533,-26.533,1.455
4.9994,0.005419,0.0057011,-39.525,-27.558,2.5316
4.9995,0.0033776,0.0074996,-39.537,-28.582,3.5859
4.9982,0.00071878,0.0092203,-39.494,-29.494,4.5945
4.7822,0.011796,0.014389,-34.522,-29.487,0.47084
4.8883,0.039317,0.010659,-35.515,-28.569,0.40884
4.8622,0.010499,0.049734,-35.519,-29.534,1.4497
4.9358,0.045817,0.0067573,-36.521,-27.552,0.41422
4.9423,0.029385,0.032256,-36.532,-28.638,1.3547
4.9239,0.0080144,0.058472,-36.532,-29.52,2.5163
4.9714,0.044389,0.0039664,-37.542,-26.536,0.41416
4.9739,0.031227,0.019431,-37.573,-27.583,1.3462
4.9781,0.020216,0.035356,-37.58,-28.636,2.4756
4.9661,0.0054868,0.047798,-37.561,-29.521,3.5672
4.9926,0.030962,0.0017859,-38.563,-25.535,0.40872
4.9934,0.023153,0.0092025,-38.633,-26.545,1.3544
4.9939,0.016884,0.018065,-38.63,-27.589,2.4758
4.9954,0.010625,0.024814,-38.642,-28.646,3.5596
4.9894,0.0028852,0.031322,-38.583,-29.537,4.5836
4.9994,0.010596,0.00043223,-39.485,-24.546,0.47093
4.9994,0.0085568,0.0027687,-39.532,-25.537,1.4497
4.9994,0.0068953,0.0053942,-39.519,-26.543,2.5162
4.9995,0.005146,0.0073725,-39.52,-27.567,3.5675
4.9996,0.0031218,0.0087027,-39.536,-28.585,4.5839
