"U:0","U:1","U:2","Points:0","Points:1","Points:2"
4.997,0.0010035,0.00068783,-39.405,-29.404,0.59847
4.9835,0.0044492,0.0030376,-38.445,-29.471,0.50265
4.9992,0.004405,0.00066718,-39.473,-28.446,0.50129
4.9974,0.000984,0.0036658,-39.476,-29.475,1.6521
4.9541,0.0065368,0.0052804,-37.491,-29.483,0.48065
4.9924,0.013245,0.0024857,-38.538,-28.539,0.41513
4.9837,0.0041503,0.012404,-38.546,-29.541,1.5143
4.9993,0.006002,0.00053784,-39.482,-27.498,0.47977
4.9993,0.0038816,0.0035686,-39.542,-28.545,1.5128
4.9979,0.00087247,0.006223,-39.489,-29.489,2.625
4.9098,0.0080268,0.0072044,-36.504,-29.486,0.47402
4.9714,0.022403,0.0049208,-37.523,-28.56,0.40999
4.9567,0.0072274,0.025667,-37.532,-29.537,1.4712
4.9919,0.019142,0.0021305,-38.555,-27.531,0.40984
4.9937,0.011985,0.010678,-38.635,-28.637,1.3886
4.9855,0.0037374,0.022562,-38.571,-29.539,2.5649
4.9993,0.0074857,0.00048733,-39.484,-26.518,0.4736
4.9994,0.0055339,0.0032319,-39.536,-27.537,1.4703
4.9994,0.0036987,0.0060798,-39.539,-28.573,2.565
4.998,0.00079644,0.0081228,-39.493,-29.493,3.6114
4.8515,0.010119,0.010621,-35.512,-29.487,0.47166
4.9359,0.031372,0.0077292,-36.515,-28.566,0.40944
4.915,0.0089095,0.035491,-36.521,-29.534,1.4555
4.9702,0.032877,0.0043705,-37.536,-27.546,0.41227
4.9749,0.021584,0.02126,-37.563,-28.639,1.3639
4.9603,0.0061028,0.037432,-37.552,-29.527,2.5314
4.9919,0.025405,0.0019519,-38.561,-26.529,0.40925
4.9932,0.017653,0.010022,-38.635,-27.572,1.3639
4.9944,0.011349,0.019321,-38.641,-28.645,2.5096
4.9873,0.003285,0.028005,-38.58,-29.537,3.5855
4.9993,0.0092278,0.00046977,-39.485,-25.531,0.4716
4.9994,0.0070523,0.0030506,-39.533,-26.533,1.455
4.9994,0.0055063,0.0058743,-39.525,-27.558,2.5316
